iter	Passed	Remaining
0	248	74221
1	347	51844
2	439	43521
3	537	39796
4	664	39181
5	745	36519
6	857	35899
7	944	34488
8	1059	3424999	1164	33761110	1277	33557111	1383	33211112	1499	33104
13	1594	32568
14	1716	32604
15	1845	32764
16	1974	32868
17	2100	32901
18	2212	32716
19	2341	32783
20	2465	32756221	2603	32898
22	2719	32754223	2868	32984
24	3001	33013
25	3106	32738226	3241	32780227	3382	32858228	3513	32829229	3661	32950330	3783	32829331	3951	33091332	4084	33045333	4218	33002334	4348	32923335	4475	32820336	4602	32715337	4728	32601338	4872	32607339	5024	32656
40	5149	32530
41	5285	32465
42	5419	32393
43	5542	32246
44	5685	32218
45	5831	32198
46	5960	32086
47	6111	32085
48	6272	32132
49	6442	32212
50	6613	32287
51	6780	32340
52	6922	32262
53	7077	32241
54	7203	32088
55	7347	32016
56	7471	31853
57	7603	31726
58	7737	31607
59	7893	31573
60	8041	31507
61	8199	31475
62	8321	31303
63	8446	31145
64	8556	30933
65	8675	30758666	8806	30624667	8918	30428668	9045	30281669	9149	30062770	9277	29924771	9403	29777772	9552	29704773	9686	29583774	9813	29440775	9952	29333776	10073	29173777	10202	29038778	10335	28913779	10487	28841880	10618	28710881	10727	28518882	10866	28411883	10982	28240884	11097	28069885	11246	27984886	11375	27851887	11507	27723888	11643	27604889	11767	27456990	11903	27338991	12044	27230992	12158	27062993	12273	26897994	12414	26788995	12542	26653996	12659	26493997	12790	26363998	12918	26229999	13041	260821100	13177	259641101	13300	258171102	13423	256741103	13550	255371104	13681	254081105	13829	253101106	13945	251541107	14058	249921108	14171	248321109	14301	247031110	14438	245841111	14575	244661112	14722	243631113	14851	242311114	15022	241671115	15164	240531116	15277	238961117	15408	237651118	15525	236131119	15647	234711120	15763	233191121	15915	232201122	16042	230851123	16165	229441124	16309	228331125	16453	227211126	16572	225741127	16683	224191128	16811	222851129	16966	221861130	17103	220651131	17239	219411132	17374	218161133	17512	216941134	17645	215661135	17750	214041136	17870	212621137	17992	211221138	18137	210081139	18245	208511140	18364	207081141	18501	205861142	18610	20432143	18689	20247
144	18832	20131
1145	18991	200321146	19137	199181147	19285	198071148	19439	19700149	19568	19568
150	19691	19430
151	19827	19306
1152	20009	192241153	20123	190771154	20239	189331155	20350	187851156	20478	186521157	20592	185061158	20710	183651159	20805	182041160	20928	180681161	21052	179331162	21163	177871163	21279	176461164	21390	175001165	21496	173521166	21595	171991167	21717	170631168	21859	16943
169	21966	16797
170	22091	16665
171	22255	16562
172	22387	16434
173	22500	16293
174	22648	16177
175	22727	16012
176	22869	15892
177	23011	15772
178	23127	15633
179	23225	15483
180	23301	15319
181	23418	15183
182	23506	15028
183	23619	14890
184	23703	14734
185	23803	14589
186	23893	14438
187	24019	14309
188	24132	14172
189	24232	14029
190	24350	13896
191	24507	13785
192	24615	13646
193	24768	13533
194	24872	13392
195	24955	13241
196	25053	13099
197	25143	12952
198	25246	12813
199	25328	12664
200	25394	12507
201	25458	12351
202	25519	12193
203	25587	12041
204	25653	11888
205	25712	11732
206	25782	11583
207	25845	11431
208	25909	11281
209	25966	11128
210	26022	10976
211	26082	10826
212	26139	10676
213	26198	10528
214	26255	10380
215	26318	10235
216	26374	10087
217	26427	9940
218	26481	9794
219	26548	9654
220	26631	9519
221	26690	9377
222	26754	9238
223	26801	9093
224	26856	8952
225	26910	8811
226	26968	8672
227	27024	85332228	27076	83942229	27131	82572230	27179	8118231	27214	7976
232	27290	7847
233	27355	7715
234	27479	7600
235	27562	7474
236	27635	7346
237	27712	7219
238	27783	7091
239	27865	6966
240	27943	6840
241	28008	6712
242	28066	6583
243	28123	6454
244	28218	6334
245	28288	6209
246	28348	6082
247	28396	5954
248	28445	5826
249	28500	5700
250	28550	5573
251	28606	5448
252	28669	5325
253	28736	5204
254	28814	5084
255	28886	4964
256	28938	4841
257	28992	4719
258	29050	4598
259	29110	4478
260	29186	4361
261	29261	4244
262	29328	4126
263	29399	4009
264	29468	3892
265	29541	3776
266	29613	3660
267	29662	3541
268	29717	3424
269	29768	3307
270	29815	3190
271	29864	3074
272	29918	2958
273	29970	2843
274	30025	2729
275	30090	2616
276	30147	2503
277	30200	2389
278	30259	2277
279	30324	2166
280	30383	2054
281	30435	1942
282	30493	1831
283	30553	1721
284	30614	1611
285	30676	1501
286	30730	1391
287	30792	1283
288	30847	1174
289	30923	1066
290	31004	958
291	31062	851
292	31104	743
293	31149	635
294	31191	528
295	31237	422
296	31281	315
297	31311	210
298	31333	104
299	31358	0

